"Monat";"Produktionsindex Industrie (Verarbeitendes Gewerbe und Bergbau)";"Produktionsindex energieintensive Industriezweige"
"2015-01-01 01:00:00";101.6;100
"2015-02-01 01:00:00";102.6;100.4
"2015-03-01 01:00:00";102.6;100.6
"2015-04-01 02:00:00";103.4;101.2
"2015-05-01 02:00:00";103.7;100.2
"2015-06-01 02:00:00";103.4;101.7
"2015-07-01 02:00:00";104.9;101
"2015-08-01 02:00:00";102.2;101.2
"2015-09-01 02:00:00";102.3;101.1
"2015-10-01 02:00:00";103.5;99.7
"2015-11-01 01:00:00";102.1;100.5
"2015-12-01 01:00:00";102.7;100.2
"2016-01-01 01:00:00";104.4;101.1
"2016-02-01 01:00:00";104.4;102.4
"2016-03-01 01:00:00";103.4;101.1
"2016-04-01 02:00:00";104.1;99.9
"2016-05-01 02:00:00";102.3;101
"2016-06-01 02:00:00";104.3;100.1
"2016-07-01 02:00:00";102.8;99.6
"2016-08-01 02:00:00";104.4;101.3
"2016-09-01 02:00:00";104.3;101.6
"2016-10-01 02:00:00";105;100.5
"2016-11-01 01:00:00";104.6;100
"2016-12-01 01:00:00";102.4;100.7
"2017-01-01 01:00:00";104;99.5
"2017-02-01 01:00:00";105.2;100.8
"2017-03-01 01:00:00";104.8;101
"2017-04-01 02:00:00";106.4;102.6
"2017-05-01 02:00:00";106.6;100.9
"2017-06-01 02:00:00";106.5;101.8
"2017-07-01 02:00:00";107.3;103.2
"2017-08-01 02:00:00";109.7;104.4
"2017-09-01 02:00:00";108.8;104.7
"2017-10-01 02:00:00";107.1;103.7
"2017-11-01 01:00:00";110.9;105.6
"2017-12-01 01:00:00";110.2;105.3
"2018-01-01 01:00:00";109.6;103.1
"2018-02-01 01:00:00";107.5;101.5
"2018-03-01 01:00:00";109.2;100.3
"2018-04-01 02:00:00";108.7;101.4
"2018-05-01 02:00:00";110.4;104.2
"2018-06-01 02:00:00";110;103.6
"2018-07-01 02:00:00";107.9;103.1
"2018-08-01 02:00:00";108.9;101.9
"2018-09-01 02:00:00";108.1;101
"2018-10-01 02:00:00";107.9;100
"2018-11-01 01:00:00";106;99.8
"2018-12-01 01:00:00";107;100.5
"2019-01-01 01:00:00";106.7;100.8
"2019-02-01 01:00:00";106.3;100.7
"2019-03-01 01:00:00";107.5;99.6
"2019-04-01 02:00:00";106;98.8
"2019-05-01 02:00:00";106.5;98.5
"2019-06-01 02:00:00";105.4;98.1
"2019-07-01 02:00:00";105;98.2
"2019-08-01 02:00:00";105.3;98.6
"2019-09-01 02:00:00";104.3;96.9
"2019-10-01 02:00:00";103.6;98.1
"2019-11-01 01:00:00";103.9;96.8
"2019-12-01 01:00:00";101.3;95.3
"2020-01-01 01:00:00";104.5;98.5
"2020-02-01 01:00:00";105.3;101.9
"2020-03-01 01:00:00";94.2;96.6
"2020-04-01 02:00:00";73.5;86.1
"2020-05-01 02:00:00";82.2;84.8
"2020-06-01 02:00:00";91.8;86.7
"2020-07-01 02:00:00";94.1;90.3
"2020-08-01 02:00:00";93.6;93.1
"2020-09-01 02:00:00";96.2;94.3
"2020-10-01 02:00:00";100;97.4
"2020-11-01 01:00:00";101.5;98.4
"2020-12-01 01:00:00";101.4;100.3
"2021-01-01 01:00:00";102;99.4
"2021-02-01 01:00:00";99.8;95.1
"2021-03-01 01:00:00";101;99.6
"2021-04-01 02:00:00";100.7;99.5
"2021-05-01 02:00:00";100.1;100.9
"2021-06-01 02:00:00";98.1;98.6
"2021-07-01 02:00:00";100.6;98.3
"2021-08-01 02:00:00";94.5;98.5
"2021-09-01 02:00:00";94.9;99.8
"2021-10-01 02:00:00";99;100.9
"2021-11-01 01:00:00";99.8;101.5
"2021-12-01 01:00:00";101.1;102.9
"2022-01-01 01:00:00";101;100.7
"2022-02-01 01:00:00";100.8;98.8
"2022-03-01 01:00:00";95.4;97.9
"2022-04-01 02:00:00";97.1;98
"2022-05-01 02:00:00";99.1;95.5
"2022-06-01 02:00:00";99.4;95.8
"2022-07-01 02:00:00";99.4;94
"2022-08-01 02:00:00";98.2;91.9
"2022-09-01 02:00:00";100.7;92
"2022-10-01 02:00:00";100.2;88.9
"2022-11-01 01:00:00";101;88.3
"2022-12-01 01:00:00";98.5;83.7
"2023-01-01 01:00:00";100.2;86.5
"2023-02-01 01:00:00";102.6;87
"2023-03-01 01:00:00";100;85
"2023-04-01 02:00:00";99.1;83.7
"2023-05-01 02:00:00";101.4;82.8
"2023-06-01 02:00:00";98.9;82.7
"2023-07-01 02:00:00";97.9;82.5
"2023-08-01 02:00:00";97.8;83.1
"2023-09-01 02:00:00";97.3;83.6
"2023-10-01 02:00:00";96.5;81.8
"2023-11-01 01:00:00";96.2;82.9
"2023-12-01 01:00:00";94.1;79.3
"2024-01-01 01:00:00";95.1;82.1
"2024-02-01 01:00:00";96.5;86.2
"2024-03-01 01:00:00";95.2;85.3
"2024-04-01 02:00:00";95.5;84.9
"2024-05-01 02:00:00";93.1;84.8
"2024-06-01 02:00:00";94.8;86.2
"2024-07-01 02:00:00";92.6;84.9
"2024-08-01 02:00:00";94.2;84.1
"2024-09-01 02:00:00";92.5;81.8
"2024-10-01 02:00:00";92.6;81.8
"2024-11-01 01:00:00";93.3;83.3
"2024-12-01 01:00:00";91.4;81.4
"2025-01-01 01:00:00";92.5;82.6
"2025-02-01 01:00:00";92.3;82.2
"2025-03-01 01:00:00";94.9;84.5
"2025-04-01 02:00:00";93;82.7
