vintage;date;obsValue
Perspectives économiques No 110 - Décembre 2021;2021-01-01;100,000000000000
Perspectives économiques No 110 - Décembre 2021;2021-04-01;102,021472008551
Perspectives économiques No 110 - Décembre 2021;2021-07-01;103,750050020460
Perspectives économiques No 110 - Décembre 2021;2021-10-01;104,545027357490
Perspectives économiques No 110 - Décembre 2021;2022-01-01;105,433274870037
Perspectives économiques No 110 - Décembre 2021;2022-04-01;106,421346278544
Perspectives économiques No 110 - Décembre 2021;2022-07-01;107,234619434172
Perspectives économiques No 110 - Décembre 2021;2022-10-01;107,852433813343
Perspectives économiques No 110 - Décembre 2021;2023-01-01;108,440756539291
Perspectives économiques No 110 - Décembre 2021;2023-04-01;108,987245827062
Perspectives économiques No 110 - Décembre 2021;2023-07-01;109,521747882870
Perspectives économiques No 110 - Décembre 2021;2023-10-01;110,025927288768
Perspectives économiques No 117 - Juin 2025;2021-01-01;100,000000000000
Perspectives économiques No 117 - Juin 2025;2021-04-01;102,232064629102
Perspectives économiques No 117 - Juin 2025;2021-07-01;102,915149410179
Perspectives économiques No 117 - Juin 2025;2021-10-01;102,924771271903
Perspectives économiques No 117 - Juin 2025;2022-01-01;103,956660621867
Perspectives économiques No 117 - Juin 2025;2022-04-01;103,821960916344
Perspectives économiques No 117 - Juin 2025;2022-07-01;104,197188089122
Perspectives économiques No 117 - Juin 2025;2022-10-01;103,773863053235
Perspectives économiques No 117 - Juin 2025;2023-01-01;103,882100731431
Perspectives économiques No 117 - Juin 2025;2023-04-01;103,910959957985
Perspectives économiques No 117 - Juin 2025;2023-07-01;103,901336824537
Perspectives économiques No 117 - Juin 2025;2023-10-01;103,603080730383
Perspectives économiques No 117 - Juin 2025;2024-01-01;103,697722791554
Perspectives économiques No 117 - Juin 2025;2024-04-01;103,889397227469
Perspectives économiques No 117 - Juin 2025;2024-07-01;104,151645743793
Perspectives économiques No 117 - Juin 2025;2024-10-01;104,427299386623
Perspectives économiques No 117 - Juin 2025;2025-01-01;104,731826543490
Perspectives économiques No 117 - Juin 2025;2025-04-01;105,034914704337
Perspectives économiques No 117 - Juin 2025;2025-07-01;105,355334445562
Perspectives économiques No 117 - Juin 2025;2025-10-01;105,679882179326
PIB réalisé;2021-01-01;100,000000000000
PIB réalisé;2021-04-01;102,232064629102
PIB réalisé;2021-07-01;102,915149410179
PIB réalisé;2021-10-01;102,924771271903
PIB réalisé;2022-01-01;103,956660621867
PIB réalisé;2022-04-01;103,821960916344
PIB réalisé;2022-07-01;104,197188089122
PIB réalisé;2022-10-01;103,773863053235
PIB réalisé;2023-01-01;103,882100731431
PIB réalisé;2023-04-01;103,910959957985
PIB réalisé;2023-07-01;103,901336824537
PIB réalisé;2023-10-01;103,603080730383
PIB réalisé;2024-01-01;103,697722791554
PIB réalisé;2024-04-01;103,889397227469
PIB réalisé;2024-07-01;104,151645743793
PIB réalisé;2024-10-01;104,427299386623
