variable;date;value
Indice de la production industrielle (secteurs manufacturier et extractif);2015-01-01;101,6
Indice de la production industrielle (secteurs manufacturier et extractif);2015-02-01;102,6
Indice de la production industrielle (secteurs manufacturier et extractif);2015-03-01;102,6
Indice de la production industrielle (secteurs manufacturier et extractif);2015-04-01;103,4
Indice de la production industrielle (secteurs manufacturier et extractif);2015-05-01;103,7
Indice de la production industrielle (secteurs manufacturier et extractif);2015-06-01;103,4
Indice de la production industrielle (secteurs manufacturier et extractif);2015-07-01;104,9
Indice de la production industrielle (secteurs manufacturier et extractif);2015-08-01;102,2
Indice de la production industrielle (secteurs manufacturier et extractif);2015-09-01;102,3
Indice de la production industrielle (secteurs manufacturier et extractif);2015-10-01;103,5
Indice de la production industrielle (secteurs manufacturier et extractif);2015-11-01;102,1
Indice de la production industrielle (secteurs manufacturier et extractif);2015-12-01;102,7
Indice de la production industrielle (secteurs manufacturier et extractif);2016-01-01;104,4
Indice de la production industrielle (secteurs manufacturier et extractif);2016-02-01;104,4
Indice de la production industrielle (secteurs manufacturier et extractif);2016-03-01;103,4
Indice de la production industrielle (secteurs manufacturier et extractif);2016-04-01;104,1
Indice de la production industrielle (secteurs manufacturier et extractif);2016-05-01;102,3
Indice de la production industrielle (secteurs manufacturier et extractif);2016-06-01;104,3
Indice de la production industrielle (secteurs manufacturier et extractif);2016-07-01;102,8
Indice de la production industrielle (secteurs manufacturier et extractif);2016-08-01;104,4
Indice de la production industrielle (secteurs manufacturier et extractif);2016-09-01;104,3
Indice de la production industrielle (secteurs manufacturier et extractif);2016-10-01;105,0
Indice de la production industrielle (secteurs manufacturier et extractif);2016-11-01;104,6
Indice de la production industrielle (secteurs manufacturier et extractif);2016-12-01;102,4
Indice de la production industrielle (secteurs manufacturier et extractif);2017-01-01;104,0
Indice de la production industrielle (secteurs manufacturier et extractif);2017-02-01;105,2
Indice de la production industrielle (secteurs manufacturier et extractif);2017-03-01;104,8
Indice de la production industrielle (secteurs manufacturier et extractif);2017-04-01;106,4
Indice de la production industrielle (secteurs manufacturier et extractif);2017-05-01;106,6
Indice de la production industrielle (secteurs manufacturier et extractif);2017-06-01;106,5
Indice de la production industrielle (secteurs manufacturier et extractif);2017-07-01;107,3
Indice de la production industrielle (secteurs manufacturier et extractif);2017-08-01;109,7
Indice de la production industrielle (secteurs manufacturier et extractif);2017-09-01;108,8
Indice de la production industrielle (secteurs manufacturier et extractif);2017-10-01;107,1
Indice de la production industrielle (secteurs manufacturier et extractif);2017-11-01;110,9
Indice de la production industrielle (secteurs manufacturier et extractif);2017-12-01;110,2
Indice de la production industrielle (secteurs manufacturier et extractif);2018-01-01;109,6
Indice de la production industrielle (secteurs manufacturier et extractif);2018-02-01;107,5
Indice de la production industrielle (secteurs manufacturier et extractif);2018-03-01;109,2
Indice de la production industrielle (secteurs manufacturier et extractif);2018-04-01;108,7
Indice de la production industrielle (secteurs manufacturier et extractif);2018-05-01;110,4
Indice de la production industrielle (secteurs manufacturier et extractif);2018-06-01;110,0
Indice de la production industrielle (secteurs manufacturier et extractif);2018-07-01;107,9
Indice de la production industrielle (secteurs manufacturier et extractif);2018-08-01;108,9
Indice de la production industrielle (secteurs manufacturier et extractif);2018-09-01;108,1
Indice de la production industrielle (secteurs manufacturier et extractif);2018-10-01;107,9
Indice de la production industrielle (secteurs manufacturier et extractif);2018-11-01;106,0
Indice de la production industrielle (secteurs manufacturier et extractif);2018-12-01;107,0
Indice de la production industrielle (secteurs manufacturier et extractif);2019-01-01;106,7
Indice de la production industrielle (secteurs manufacturier et extractif);2019-02-01;106,3
Indice de la production industrielle (secteurs manufacturier et extractif);2019-03-01;107,5
Indice de la production industrielle (secteurs manufacturier et extractif);2019-04-01;106,0
Indice de la production industrielle (secteurs manufacturier et extractif);2019-05-01;106,5
Indice de la production industrielle (secteurs manufacturier et extractif);2019-06-01;105,4
Indice de la production industrielle (secteurs manufacturier et extractif);2019-07-01;105,0
Indice de la production industrielle (secteurs manufacturier et extractif);2019-08-01;105,3
Indice de la production industrielle (secteurs manufacturier et extractif);2019-09-01;104,3
Indice de la production industrielle (secteurs manufacturier et extractif);2019-10-01;103,6
Indice de la production industrielle (secteurs manufacturier et extractif);2019-11-01;103,9
Indice de la production industrielle (secteurs manufacturier et extractif);2019-12-01;101,3
Indice de la production industrielle (secteurs manufacturier et extractif);2020-01-01;104,5
Indice de la production industrielle (secteurs manufacturier et extractif);2020-02-01;105,3
Indice de la production industrielle (secteurs manufacturier et extractif);2020-03-01;94,2
Indice de la production industrielle (secteurs manufacturier et extractif);2020-04-01;73,5
Indice de la production industrielle (secteurs manufacturier et extractif);2020-05-01;82,2
Indice de la production industrielle (secteurs manufacturier et extractif);2020-06-01;91,8
Indice de la production industrielle (secteurs manufacturier et extractif);2020-07-01;94,1
Indice de la production industrielle (secteurs manufacturier et extractif);2020-08-01;93,6
Indice de la production industrielle (secteurs manufacturier et extractif);2020-09-01;96,2
Indice de la production industrielle (secteurs manufacturier et extractif);2020-10-01;100,0
Indice de la production industrielle (secteurs manufacturier et extractif);2020-11-01;101,5
Indice de la production industrielle (secteurs manufacturier et extractif);2020-12-01;101,4
Indice de la production industrielle (secteurs manufacturier et extractif);2021-01-01;102,0
Indice de la production industrielle (secteurs manufacturier et extractif);2021-02-01;99,8
Indice de la production industrielle (secteurs manufacturier et extractif);2021-03-01;101,0
Indice de la production industrielle (secteurs manufacturier et extractif);2021-04-01;100,7
Indice de la production industrielle (secteurs manufacturier et extractif);2021-05-01;100,1
Indice de la production industrielle (secteurs manufacturier et extractif);2021-06-01;98,1
Indice de la production industrielle (secteurs manufacturier et extractif);2021-07-01;100,6
Indice de la production industrielle (secteurs manufacturier et extractif);2021-08-01;94,5
Indice de la production industrielle (secteurs manufacturier et extractif);2021-09-01;94,9
Indice de la production industrielle (secteurs manufacturier et extractif);2021-10-01;99,0
Indice de la production industrielle (secteurs manufacturier et extractif);2021-11-01;99,8
Indice de la production industrielle (secteurs manufacturier et extractif);2021-12-01;101,1
Indice de la production industrielle (secteurs manufacturier et extractif);2022-01-01;101,0
Indice de la production industrielle (secteurs manufacturier et extractif);2022-02-01;100,8
Indice de la production industrielle (secteurs manufacturier et extractif);2022-03-01;95,4
Indice de la production industrielle (secteurs manufacturier et extractif);2022-04-01;97,1
Indice de la production industrielle (secteurs manufacturier et extractif);2022-05-01;99,1
Indice de la production industrielle (secteurs manufacturier et extractif);2022-06-01;99,4
Indice de la production industrielle (secteurs manufacturier et extractif);2022-07-01;99,4
Indice de la production industrielle (secteurs manufacturier et extractif);2022-08-01;98,2
Indice de la production industrielle (secteurs manufacturier et extractif);2022-09-01;100,7
Indice de la production industrielle (secteurs manufacturier et extractif);2022-10-01;100,2
Indice de la production industrielle (secteurs manufacturier et extractif);2022-11-01;101,0
Indice de la production industrielle (secteurs manufacturier et extractif);2022-12-01;98,5
Indice de la production industrielle (secteurs manufacturier et extractif);2023-01-01;100,2
Indice de la production industrielle (secteurs manufacturier et extractif);2023-02-01;102,6
Indice de la production industrielle (secteurs manufacturier et extractif);2023-03-01;100,0
